iter	Passed	Remaining
0	83	41661
1	95	23895
2	106	17644
3	118	14666
4	129	12805
5	139	11522
6	151	10658
7	162	9978
8	172	9416
9	182	8953
10	193	8579
11	203	8273
12	214	8021
13	224	7791
14	234	7580
15	244	7401
16	254	7225
17	264	7084
18	275	6962
19	284	6837
20	295	6729
21	305	6629
22	315	6535
23	325	6447
24	335	6365
25	345	6293
26	354	6213
27	371	6264
28	386	6283
29	402	6298
30	418	6331
31	433	6337
32	445	6310
33	455	6244
34	465	6190
35	477	6148
36	487	6098
37	498	6059
38	509	6017
39	519	5973
40	530	5938
41	541	5900
42	551	5861
43	562	5828
44	572	5791
45	583	5755
46	593	5724
47	604	5689
48	614	5658
49	625	5626
50	626	5511
51	637	5491
52	649	5481
53	663	5482
54	677	5480
55	694	5503
56	714	5553
57	730	5568
58	746	5582
59	762	5593
60	778	5603
61	794	5612
62	809	5616
63	824	5619
64	841	5629
65	856	5633
66	872	5639
67	891	5666
68	909	5679
69	927	5696
70	946	5718
71	963	5728
72	980	5733
73	996	5734
74	1014	5749
75	1034	5769
76	1052	5782
77	1072	5800
78	1083	5772
79	1104	5799
80	1121	5802
81	1139	5807
82	1157	5815
83	1176	5825
84	1195	5837
85	1216	5856
86	1237	5873
87	1257	5888
88	1278	5905
89	1299	5921
90	1320	5936
91	1341	5948
92	1361	5958
93	1380	5963
94	1400	5969
95	1420	5976
96	1440	5985
97	1466	6017
98	1484	6012
99	1502	6011
100	1522	6015
101	1541	6016
102	1561	6018
103	1581	6020
104	1602	6026
105	1622	6032
106	1642	6034
107	1676	6084
108	1722	6180
109	1745	6187
110	1763	6181
111	1782	6174
112	1800	6167
113	1820	6164
114	1841	6166
115	1864	6170
116	1884	6169
117	1908	6177
118	1927	6170
119	1948	6170
120	1968	6165
121	1988	6160
122	2008	6156
123	2028	6150
124	2052	6156
125	2072	6150
126	2091	6143
127	2112	6140
128	2132	6133
129	2152	6126
130	2171	6117
131	2193	6115
132	2216	6116
133	2237	6111
134	2260	6111
135	2287	6121
136	2314	6132
137	2339	6137
138	2359	6128
139	2378	6115
140	2398	6105
141	2417	6093
142	2437	6084
143	2459	6079
144	2482	6078
145	2503	6070
146	2523	6060
147	2544	6051
148	2564	6040
149	2583	6028
150	2604	6020
151	2625	6011
152	2645	5999
153	2664	5987
154	2684	5976
155	2706	5967
156	2729	5963
157	2750	5953
158	2771	5944
159	2794	5937
160	2815	5927
161	2835	5915
162	2855	5903
163	2875	5890
164	2895	5879
165	2916	5868
166	2937	5857
167	2957	5844
168	2977	5831
169	3006	5837
170	3048	5865
171	3082	5878
172	3104	5868
173	3129	5863
174	3155	5860
175	3178	5851
176	3203	5846
177	3225	5834
178	3245	5820
179	3269	5812
180	3295	5807
181	3316	5793
182	3336	5779
183	3358	5768
184	3381	5756
185	3400	5741
186	3423	5730
187	3443	5714
188	3464	5700
189	3486	5687
190	3505	5671
191	3526	5657
192	3548	5643
193	3568	5628
194	3590	5615
195	3609	5598
196	3630	5583
197	3652	5570
198	3672	5554
199	3694	5542
200	3716	5528
201	3739	5516
202	3759	5500
203	3780	5485
204	3801	5470
205	3821	5453
206	3841	5437
207	3861	5421
208	3882	5405
209	3905	5393
210	3926	5377
211	3950	5366
212	3970	5350
213	3991	5334
214	4012	5318
215	4033	5302
216	4053	5285
217	4074	5270
218	4096	5255
219	4117	5239
220	4137	5223
221	4156	5205
222	4176	5188
223	4198	5173
224	4219	5156
225	4239	5139
226	4259	5122
227	4280	5106
228	4300	5089
229	4319	5071
230	4339	5053
231	4359	5036
232	4380	5020
233	4400	5002
234	4422	4987
235	4445	4973
236	4465	4955
237	4485	4937
238	4505	4919
239	4525	4903
240	4545	4884
241	4564	4866
242	4584	4848
243	4604	4831
244	4624	4813
245	4644	4795
246	4664	4777
247	4684	4760
248	4706	4743
249	4725	4725
250	4748	4710
251	4768	4693
252	4788	4675
253	4808	4656
254	4828	4639
255	4846	4619
256	4866	4601
257	4887	4584
258	4908	4567
259	4929	4549
260	4949	4531
261	4968	4513
262	4989	4496
263	5011	4480
264	5036	4465
265	5059	4450
266	5079	4432
267	5099	4414
268	5119	4396
269	5140	4378
270	5160	4361
271	5181	4343
272	5203	4326
273	5223	4308
274	5243	4290
275	5264	4272
276	5284	4254
277	5304	4236
278	5316	4211
279	5336	4192
280	5358	4175
281	5378	4157
282	5399	4140
283	5419	4121
284	5440	4104
285	5461	4086
286	5481	4068
287	5500	4049
288	5519	4030
289	5539	4011
290	5560	3993
291	5581	3976
292	5601	3957
293	5621	3939
294	5642	3920
295	5661	3902
296	5682	3883
297	5701	3864
298	5722	3847
299	5744	3829
300	5764	3811
301	5785	3792
302	5805	3774
303	5824	3755
304	5843	3736
